

--------------------------------------------------------
Maximum iterations:		20
Starting 'C' Real:		-2.000000
Starting 'C' Imaginary:	-1.000000
Step size: 				0.004990
--------------------------------------------------------
de_data		de_addr	de_nbyte
02020202	00090	d
02020202	00090	b
02020202	00090	7
02020202	00091	e
02020202	00091	d
02020202	00091	b
02020202	00091	7
02020202	00092	e
02020202	00092	d
02020202	00092	b
02020202	00092	7
02020202	00093	e
02020202	00093	d
02020202	00093	b
02020202	00093	7
02020202	00094	e
02020202	00094	d
02020202	00094	b
02020202	00094	7
02020202	00095	e
02020202	00095	d
02020202	00095	b
02020202	00095	7
02020202	00096	e
02020202	00096	d
02020202	00096	b
02020202	00096	7
02020202	00097	e
02020202	00097	d
02020202	00097	b
02020202	00097	7
02020202	00098	e
02020202	00098	d
02020202	00098	b
02020202	00098	7
02020202	00099	e
02020202	00099	d
02020202	00099	b
02020202	00099	7
02020202	0009a	e
02020202	0009a	d
02020202	0009a	b
02020202	0009a	7
02020202	0009b	e
02020202	0009b	d
02020202	0009b	b
02020202	0009b	7
02020202	0009c	e
02020202	0009c	d
02020202	0009c	b
02020202	0009c	7
02020202	0009d	e
02020202	0009d	d
02020202	0009d	b
02020202	0009d	7
02020202	0009e	e
02020202	0009e	d
02020202	0009e	b
02020202	0009e	7
02020202	0009f	e
02020202	0009f	d
02020202	0009f	b
02020202	0009f	7
01010101	000a0	e
01010101	000a0	d
01010101	000a0	b
01010101	000a0	7
01010101	000a1	e
01010101	000a1	d
01010101	000a1	b
01010101	000a1	7
01010101	000a2	e
01010101	000a2	d
01010101	000a2	b
01010101	000a2	7
01010101	000a3	e
01010101	000a3	d
01010101	000a3	b
01010101	000a3	7
01010101	000a4	e
01010101	000a4	d
01010101	000a4	b
01010101	000a4	7
01010101	000a5	e
01010101	000a5	d
01010101	000a5	b
01010101	000a5	7
01010101	000a6	e
01010101	000a6	d
01010101	000a6	b
01010101	000a6	7
01010101	000a7	e
01010101	000a7	d
01010101	000a7	b
01010101	000a7	7
01010101	000a8	e
01010101	000a8	d
01010101	000a8	b
01010101	000a8	7
01010101	000a9	e
01010101	000a9	d
01010101	000a9	b
01010101	000a9	7
01010101	000aa	e
01010101	000aa	d
01010101	000aa	b
01010101	000aa	7
01010101	000ab	e
01010101	000ab	d
01010101	000ab	b
01010101	000ab	7
01010101	000ac	e
01010101	000ac	d
01010101	000ac	b
01010101	000ac	7
01010101	000ad	e
01010101	000ad	d
02020202	000ad	b
02020202	000ad	7
02020202	000ae	e
02020202	000ae	d
02020202	000ae	b
02020202	000ae	7
02020202	000af	e
02020202	000af	d
02020202	000af	b
02020202	000af	7
02020202	000b0	e
02020202	000b0	d
02020202	000b0	b
02020202	000b0	7
02020202	000b1	e
02020202	000b1	d
02020202	000b1	b
02020202	000b1	7
02020202	000b2	e
02020202	000b2	d
02020202	000b2	b
02020202	000b2	7
02020202	000b3	e
02020202	000b3	d
02020202	000b3	b
02020202	000b3	7
02020202	000b4	e
02020202	000b4	d
02020202	000b4	b
02020202	000b4	7
02020202	000b5	e
02020202	000b5	d
02020202	000b5	b
02020202	000b5	7
02020202	000b6	e
02020202	000b6	d
02020202	000b6	b
02020202	000b6	7
02020202	000b7	e
02020202	000b7	d
02020202	000b7	b
02020202	000b7	7
02020202	000b8	e
02020202	000b8	d
02020202	000b8	b
02020202	000b8	7
02020202	000b9	e
03030303	000b9	d
03030303	000b9	b
03030303	000b9	7
03030303	000ba	e
03030303	000ba	d
03030303	000ba	b
03030303	000ba	7
03030303	000bb	e
03030303	000bb	d
03030303	000bb	b
03030303	000bb	7
03030303	000bc	e
03030303	000bc	d
03030303	000bc	b
03030303	000bc	7
03030303	000bd	e
03030303	000bd	d
03030303	000bd	b
03030303	000bd	7
03030303	000be	e
03030303	000be	d
03030303	000be	b
03030303	000be	7
03030303	000bf	e
03030303	000bf	d
03030303	000bf	b
03030303	000bf	7
03030303	000c0	e
03030303	000c0	d
03030303	000c0	b
03030303	000c0	7
03030303	000c1	e
03030303	000c1	d
03030303	000c1	b
03030303	000c1	7
03030303	000c2	e
03030303	000c2	d
03030303	000c2	b
03030303	000c2	7
03030303	000c3	e
03030303	000c3	d
03030303	000c3	b
03030303	000c3	7
03030303	000c4	e
03030303	000c4	d
03030303	000c4	b
03030303	000c4	7
03030303	000c5	e
03030303	000c5	d
03030303	000c5	b
03030303	000c5	7
03030303	000c6	e
03030303	000c6	d
03030303	000c6	b
03030303	000c6	7
03030303	000c7	e
03030303	000c7	d
03030303	000c7	b
03030303	000c7	7
03030303	000c8	e
03030303	000c8	d
03030303	000c8	b
03030303	000c8	7
03030303	000c9	e
03030303	000c9	d
03030303	000c9	b
03030303	000c9	7
03030303	000ca	e
03030303	000ca	d
03030303	000ca	b
03030303	000ca	7
03030303	000cb	e
03030303	000cb	d
03030303	000cb	b
03030303	000cb	7
03030303	000cc	e
03030303	000cc	d
03030303	000cc	b
03030303	000cc	7
03030303	000cd	e
03030303	000cd	d
03030303	000cd	b
03030303	000cd	7
03030303	000ce	e
03030303	000ce	d
03030303	000ce	b
